종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,종목코드,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,배당수익률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배),EPS(원),PBR(배),BPS(원),배당수익률%
엔지켐생명과학 *,85000.0,1700.0,-1.96%,84900.0,85000.0,92978.0,8000.0,131631.0,183490,8331345,8331345,727521,8.73%,107.03,+0.01%,,코스닥,7082,106,159000,77200,81800,2.0595854922279795,-74000.0,0.5345911949685535,,,,,-2755,8.30 , 10240,
네오이뮨텍(Reg.S) *,9680.0,200.0,-2.02%,9680.0,9690.0,310263.0,3006.0,459385.0,950220,98417010,98417010,7873251,8.00%,107.03,+0.01%,,코스닥,9527,74,17450,9350,8100,1.8663101604278074,-7770.0,0.5547277936962751,,,,,-488,5.40 , 1792,
CMG제약 *,4290.0,90.0,-2.05%,4290.0,4295.0,928854.0,3996.0,773758.0,058820,138892244,138892244,8165746,5.88%,107.03,+0.01%,,코스닥,5958,143,7100,4145,2955,1.712907117008444,-2810.0,0.604225352112676,,,,,-5,3.26 , 1314,
동국제약 *,23800.0,500.0,-2.06%,23800.0,23850.0,147398.0,3518.0,162573.0,086450,44460000,44460000,7987840,17.97%,107.03,+0.01%,,코스닥,1581,63,33650,22650,11000,1.4856512141280354,-9850.0,0.7072808320950966,31500.0,4.0,매수,20.52,1160,2.48 , 9613,0.76
동성제약,10750.0,250.0,-2.27%,10750.0,10800.0,188624.0,2039.0,260507.0,002210,26100970,26100970,1267712,4.86%,107.03,+0.01%,,코스피,2806,522,17000,9290,7710,1.8299246501614639,-6250.0,0.6323529411764706,,,,,-378,4.73 , 2273,
휴메딕스 *,34950.0,850.0,-2.37%,34750.0,34950.0,95076.0,3321.0,87621.0,200670,9971194,9971194,619820,6.22%,107.03,+0.01%,,코스닥,3485,281,44600,20350,24250,2.191646191646192,-9650.0,0.7836322869955157,45333.0,4.0,매수,21.80,1603,2.69 , 12995,1.14
에스텍파마 *,11850.0,300.0,-2.47%,11800.0,11850.0,120968.0,1434.0,206738.0,041910,11898263,11898263,190089,1.60%,107.03,+0.01%,,코스닥,1410,741,15400,10000,5400,1.54,-3550.0,0.7694805194805194,,,,15.57,761,1.20 , 9853,0.84
휴온스글로벌 *,65500.0,1700.0,-2.53%,65400.0,65500.0,138833.0,9118.0,115891.0,084110,12030289,12030289,1043640,8.68%,107.03,+0.01%,,코스닥,7880,95,82300,25900,56400,3.1776061776061777,-16800.0,0.795868772782503,,,,19.65,3333,1.84 , 35553,0.58
에스티팜 *,109200.0,3000.0,-2.67%,109200.0,109300.0,156423.0,17227.0,153418.0,237690,18656000,18656000,31697,0.17%,107.03,+0.01%,,코스닥,2372,21,145200,55000,90200,2.64,-36000.0,0.7520661157024794,133333.0,4.0,매수,,-570,6.88 , 15876,
퓨쳐켐 *,18500.0,550.0,-2.89%,18500.0,18600.0,196351.0,3645.0,174667.0,220100,13645971,13645971,324420,2.38%,107.03,+0.01%,,코스닥,2524,413,25900,10800,15100,2.3981481481481484,-7400.0,0.7142857142857143,,,,,-1403,4.50 , 4114,
녹십자홀딩스,32150.0,1000.0,-3.02%,32150.0,32200.0,171600.0,5552.0,149376.0,005250,47028210,47028210,2541325,5.40%,107.03,+0.01%,,코스피,15120,182,56300,21400,34900,2.630841121495327,-24150.0,0.5710479573712256,,,,9.92,3242,1.58 , 20381,1.55
바이젠셀 *,49300.0,1600.0,-3.14%,49250.0,49300.0,196767.0,9841.0,181777.0,308080,9432400,9432400,18644,0.20%,107.03,+0.01%,,코스닥,4650,204,78000,50500,27500,1.5445544554455446,-28700.0,0.632051282051282,,,,,-1385,21.16 , 2330,
내츄럴엔도텍 *,9970.0,330.0,-3.20%,9970.0,9980.0,2177247.0,22248.0,5075782.0,168330,29157684,29157684,609995,2.09%,107.03,+0.01%,,코스닥,2907,354,12000,5050,6950,2.376237623762376,-2030.0,0.8308333333333333,,,,,-17,6.95 , 1434,
국전약품 *,11750.0,650.0,-5.24%,11750.0,11800.0,3538279.0,41875.0,3958428.0,307750,49069269,49069269,174484,0.36%,107.03,+0.01%,,코스닥,5766,152,14500,2959,11541,4.900304156809733,-2750.0,0.8103448275862069,,,,,-80,7.08 , 1660,
프레스티지바이오로직스 *,15150.0,1050.0,-6.48%,15150.0,15200.0,625678.0,9678.0,501201.0,334970,47206389,47206389,10209006,21.63%,107.03,+0.01%,,코스닥,7152,103,21550,11700,9850,1.8418803418803418,-6400.0,0.703016241299304,,,,,-1133,6.11 , 2480,
녹십자홀딩스2우,73700.0,5300.0,-6.71%,73700.0,74100.0,4719.0,356.0,2832.0,005257,845990,845990,591,0.07%,107.03,+0.01%,,코스피,623,986,237000,61600,175400,3.8474025974025974,-163300.0,0.3109704641350211,,,,22.73,3242,3.62 , 20381,0.68
녹십자,354000.0,25500.0,-6.72%,354000.0,354500.0,339546.0,120234.0,133432.0,006280,11686538,11686538,2519699,21.56%,107.03,+0.01%,,코스피,41370,82,538000,209000,329000,2.574162679425837,-184000.0,0.6579925650557621,457143.0,4.0,매수,44.26,7998,3.61 , 98182,0.42
프레스티지바이오파마,34450.0,2750.0,-7.39%,34400.0,34450.0,1137115.0,39909.0,669255.0,950210,60096155,60096155,38571511,64.18%,107.03,+0.01%,,코스피,2703,152,54000,24200,29800,2.231404958677686,-19550.0,0.637962962962963,40000.0,4.0,매수,,-336,3.61 , 9552,
