종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,종목명_전처리,종목코드,level_0,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률l2020.12,동일업종 PER,동일업종 등락률,배당수익률,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.03),PBRlBPS (2021.03),PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
동아쏘시오홀딩스,120500.0,3000.0,+2.55%,120500.0,121000.0,26172.0,3130.0,11615.0,동아쏘시오홀딩스,000640,16,"7,649  억원",코스피 289위,6347506,"5,000원  l  1주",6347506,772306,12.17%,"4.00매수  l  160,000","157,500  l  99,500","4.52배  l  26,636원",N/A  l  N/A,"0.82배  l  147,443원",0.83%,107.03배,+0.01%,,,,,,,,,,
신풍제약우,94200.0,2200.0,+2.39%,94100.0,94200.0,78746.0,7585.0,38847.0,신풍제약우,019175,17,"2,072  억원",코스피 629위,2200000,500원  l  1주,2200000,9422,0.43%,N/A  l  N/A,"253,000  l  62,200","1,570.00배  l  60원",N/A  l  N/A,"13.18배  l  7,145원",0.12%,107.03배,+0.01%,,,,,,,,,,
위더스제약 *,13950.0,300.0,+2.20%,13900.0,13950.0,84930.0,1179.0,154104.0,위더스제약,330350,18,"1,840  억원",코스닥 581위,13188622,200원  l  1주,13188622,78337,0.59%,N/A  l  N/A,"18,933  l  11,433",48.78배  l  286원,N/A  l  N/A,"2.34배  l  5,954원",0.23%,107.03배,+0.01%,,,,,,,,,,
에이치엘비생명과학 *,22400.0,450.0,+2.05%,22350.0,22400.0,5249129.0,117428.0,7042982.0,에이치엘비생명과학,067630,19,"2조  1,097  억원",코스닥 19위,94180906,500원  l  1주,94180906,6398323,6.79%,N/A  l  N/A,"23,000  l  7,249",N/A  l  -680원,N/A  l  N/A,"8.27배  l  2,707원",,107.03배,+0.01%,,,,,,,,,,
대성미생물 *,18200.0,350.0,+1.96%,18050.0,18200.0,17870.0,318.0,9657.0,대성미생물,036480,20,692  억원,코스닥 1230위,3800000,500원  l  1주,3800000,66834,1.76%,N/A  l  N/A,"27,250  l  14,700",206.82배  l  88원,N/A  l  N/A,"1.90배  l  9,588원",0.47%,107.03배,+0.01%,,,,,,,,,,
녹십자웰빙 *,10500.0,200.0,+1.94%,10400.0,10500.0,25920.0,270.0,65033.0,녹십자웰빙,234690,21,"1,864  억원",코스닥 579위,17752276,500원  l  1주,17752276,231696,1.31%,N/A  l  N/A,"18,850  l  9,740",66.46배  l  158원,N/A  l  N/A,"2.18배  l  4,813원",0.48%,107.03배,+0.01%,,,,,,,,,,
제일파마홀딩스,19200.0,350.0,+1.86%,19100.0,19200.0,7674.0,144.0,25613.0,제일파마홀딩스,002620,22,"3,067  억원",코스피 494위,15973355,500원  l  1주,15973355,1527439,9.56%,N/A  l  N/A,"33,000  l  17,150",42.95배  l  447원,N/A  l  N/A,"0.72배  l  26,847원",0.37%,107.03배,+0.01%,,,,,,,,,,
신풍제약,67800.0,1200.0,+1.80%,67700.0,67800.0,1611083.0,110840.0,951661.0,신풍제약,019170,23,"3조  5,924  억원",코스피 97위,52984990,500원  l  1주,52984990,4379701,8.27%,N/A  l  N/A,"214,000  l  59,500","1,130.00배  l  60원",N/A  l  N/A,"9.49배  l  7,145원",0.15%,107.03배,+0.01%,,,,,,,,,,
씨티씨바이오 *,12600.0,200.0,+1.61%,12550.0,12600.0,205987.0,2567.0,156066.0,씨티씨바이오,060590,24,"2,857  억원",코스닥 361위,22674323,500원  l  1주,22674323,834284,3.68%,N/A  l  N/A,"14,500  l  5,680",N/A  l  -204원,N/A  l  N/A,"3.35배  l  3,761원",,107.03배,+0.01%,,,,,,,,,,
큐라클 *,39900.0,600.0,+1.53%,39900.0,40000.0,440589.0,17678.0,367287.0,큐라클,365270,25,"5,329  억원",코스닥 169위,13355968,500원  l  1주,13355968,38302,0.29%,N/A  l  N/A,"62,400  l  28,500",,N/A  l  N/A,,,107.03배,+0.01%,,"N/A  l  -2,624원",47.39배  l  842원,,,,,,,
바이온 *,1505.0,20.0,+1.35%,1505.0,1510.0,627294.0,938.0,804933.0,바이온,032980,26,"1,007  억원",코스닥 982위,66900777,500원  l  1주,66900777,2046829,3.06%,N/A  l  N/A,"2,475  l  1,100",N/A  l  -69원,N/A  l  N/A,2.33배  l  647원,,107.03배,+0.01%,,,,,,,,,,
제일바이오 *,3830.0,50.0,+1.32%,3830.0,3835.0,490977.0,1856.0,471464.0,제일바이오,052670,27,"1,116  억원",코스닥 903위,29129064,500원  l  1주,29129064,798003,2.74%,N/A  l  N/A,"4,721  l  3,062",63.83배  l  60원,N/A  l  N/A,"2.71배  l  1,414원",,107.03배,+0.01%,,,,,,,,,,
삼성바이오로직스,925000.0,12000.0,+1.31%,924000.0,925000.0,59416.0,55010.0,103517.0,삼성바이오로직스,207940,28,"61조  2,026  억원",코스피 4위,66165000,"2,500원  l  1주",66165000,6978755,10.55%,"4.00매수  l  1,060,000","1,047,000  l  624,000","182.81배  l  5,060원","155.00배  l  5,955원","12.80배  l  72,259원",,107.03배,+0.01%,,,,,,,,,,
팜젠사이언스,9520.0,120.0,+1.28%,9510.0,9520.0,102651.0,971.0,83763.0,팜젠사이언스,004720,29,"1,401  억원",코스피 747위,14712933,500원  l  1주,14712933,230208,1.56%,N/A  l  N/A,"20,200  l  8,450","5.75배  l  1,657원",N/A  l  N/A,"1.36배  l  7,008원",,107.03배,+0.01%,,,,,,,,,,
JW생명과학,17500.0,200.0,+1.16%,17450.0,17500.0,21609.0,373.0,33212.0,JW생명과학,234080,30,"2,771  억원",코스피 529위,15834554,"2,500원  l  1주",15834554,566395,3.58%,N/A  l  N/A,"24,000  l  16,300",21.34배  l  820원,N/A  l  N/A,"2.11배  l  8,291원",2.86%,107.03배,+0.01%,,,,,,,,,,
대웅,36300.0,400.0,+1.11%,36300.0,36350.0,142993.0,5209.0,177945.0,대웅,003090,31,"2조  1,106  억원",코스피 149위,58141980,500원  l  1주,58141980,2252604,3.87%,N/A  l  N/A,"86,700  l  20,700","22.45배  l  1,617원",N/A  l  N/A,"2.23배  l  16,303원",0.28%,107.03배,+0.01%,,,,,,,,,,
유한양행,64300.0,700.0,+1.10%,64200.0,64300.0,262945.0,16779.0,350580.0,유한양행,000100,32,"4조  4,993  억원",코스피 74위,69972959,"1,000원  l  1주",69972959,12545166,17.93%,"4.00매수  l  83,250","81,000  l  55,118","46.76배  l  1,375원","42.00배  l  1,524원","2.23배  l  28,781원",0.59%,107.03배,+0.01%,,,,,,,,,,
노바렉스 *,46000.0,500.0,+1.10%,46000.0,46150.0,29150.0,1338.0,23283.0,노바렉스,194700,33,"4,142  억원",코스닥 239위,9003740,500원  l  1주,9003740,94115,1.05%,"4.00매수  l  56,833","50,700  l  35,800","15.84배  l  2,904원","14.00배  l  3,354원","2.90배  l  15,874원",0.65%,107.03배,+0.01%,,,,,,,,,,
유유제약2우B,24750.0,250.0,+1.02%,24750.0,24800.0,586.0,14.0,627.0,유유제약2우B,000227,34,81  억원,코스피 1489위,325560,"1,000원  l  1주",325560,144,0.04%,N/A  l  N/A,"59,000  l  13,315","1,375.00배  l  18원",N/A  l  N/A,"3.70배  l  6,698원",0.44%,107.03배,+0.01%,,,,,,,,,,
대웅제약,158000.0,1500.0,+0.96%,157500.0,158000.0,38376.0,6085.0,66868.0,대웅제약,069620,35,"1조  8,307  억원",코스피 160위,11586575,"2,500원  l  1주",11586575,793653,6.85%,"4.00매수  l  211,667","286,500  l  88,200",617.19배  l  256원,N/A  l  N/A,"3.21배  l  49,181원",0.38%,107.03배,+0.01%,,,,,,,,,,
대한뉴팜 *,10750.0,100.0,+0.94%,10750.0,10800.0,36488.0,388.0,46757.0,대한뉴팜,054670,36,"1,543  억원",코스닥 686위,14354920,500원  l  1주,14354920,0,0.00%,N/A  l  N/A,"14,000  l  10,200",N/A  l  -592원,N/A  l  N/A,"2.27배  l  4,728원",,107.03배,+0.01%,,,,,,,,,,
대봉엘에스 *,9950.0,90.0,+0.91%,9900.0,9950.0,15510.0,153.0,20163.0,대봉엘에스,078140,37,"1,103  억원",코스닥 911위,11086579,500원  l  1주,11086579,281708,2.54%,N/A  l  N/A,"13,000  l  9,210",20.95배  l  475원,N/A  l  N/A,"1.03배  l  9,685원",0.50%,107.03배,+0.01%,,,,,,,,,,
유유제약1우,11200.0,100.0,+0.90%,11150.0,11200.0,4717.0,52.0,13913.0,유유제약1우,000225,38,254  억원,코스피 1165위,2266930,"1,000원  l  1주",2266930,44675,1.97%,N/A  l  N/A,"27,200  l  4,925",622.22배  l  18원,N/A  l  N/A,"1.67배  l  6,698원",0.98%,107.03배,+0.01%,,,,,,,,,,
일양약품,34300.0,300.0,+0.88%,33900.0,34300.0,78673.0,2679.0,131922.0,일양약품,007570,39,"6,546  억원",코스피 312위,19085664,"2,500원  l  1주",19085664,1830776,9.59%,N/A  l  N/A,"90,300  l  30,150",76.73배  l  447원,N/A  l  N/A,"3.04배  l  11,273원",0.35%,107.03배,+0.01%,,,,,,,,,,
티움바이오 *,20100.0,150.0,+0.75%,20100.0,20200.0,73512.0,1480.0,82980.0,티움바이오,321550,40,"4,788  억원",코스닥 196위,23821926,500원  l  1주,23821926,29758,0.12%,N/A  l  N/A,"29,650  l  14,250",N/A  l  -848원,N/A  l  N/A,"6.80배  l  2,956원",,107.03배,+0.01%,,,,,,,,,,
휴럼 *,2160.0,15.0,+0.70%,2160.0,2165.0,128329.0,274.0,143548.0,휴럼,353190,41,787  억원,코스닥 1150위,36440420,100원  l  1주,36440420,139795,0.38%,N/A  l  N/A,"4,135  l  1,905",,N/A  l  N/A,,,133.51배,+0.01%,,32.24배  l  67원,N/A  l  N/A,,,,,,,
디에이치피코리아 *,7310.0,50.0,+0.69%,7310.0,7320.0,38398.0,279.0,57163.0,디에이치피코리아,131030,42,"1,211  억원",코스닥 841위,16564797,500원  l  1주,16564797,844138,5.10%,N/A  l  N/A,"9,450  l  6,910",13.54배  l  540원,N/A  l  N/A,"0.97배  l  7,517원",1.37%,107.03배,+0.01%,,,,,,,,,,
일성신약,80100.0,500.0,+0.63%,79900.0,80100.0,1135.0,90.0,2851.0,일성신약,003120,43,"2,131  억원",코스피 611위,2660000,"5,000원  l  1주",2660000,64940,2.44%,N/A  l  N/A,"102,000  l  76,100","N/A  l  -1,072원",N/A  l  N/A,"0.36배  l  222,936원",0.94%,107.03배,+0.01%,,,,,,,,,,
일양약품우,33900.0,200.0,+0.59%,33800.0,33900.0,467.0,15.0,415.0,일양약품우,007575,44,151  억원,코스피 1281위,445080,"2,500원  l  1주",445080,2090,0.47%,N/A  l  N/A,"141,000  l  29,900",75.84배  l  447원,N/A  l  N/A,"3.01배  l  11,273원",0.43%,107.03배,+0.01%,,,,,,,,,,
삼진제약,26300.0,150.0,+0.57%,26250.0,26300.0,28853.0,754.0,72238.0,삼진제약,005500,45,"3,656  억원",코스피 449위,13900000,"1,000원  l  1주",13900000,1860749,13.39%,N/A  l  N/A,"31,800  l  23,300","13.86배  l  1,897원",N/A  l  N/A,"1.48배  l  17,770원",3.04%,107.03배,+0.01%,,,,,,,,,,
JW중외제약,26950.0,150.0,+0.56%,26950.0,27000.0,75846.0,2030.0,349434.0,JW중외제약,001060,46,"5,805  억원",코스피 335위,21539926,"2,500원  l  1주",21539926,1222265,5.67%,N/A  l  N/A,"42,639  l  25,850",N/A  l  -146원,N/A  l  N/A,"3.03배  l  8,886원",1.17%,107.03배,+0.01%,,,,,,,,,,
영진약품,5400.0,30.0,+0.56%,5390.0,5400.0,377560.0,2049.0,560160.0,영진약품,003520,47,"9,876  억원",코스피 243위,182892731,500원  l  1주,182892731,7886066,4.31%,N/A  l  N/A,"10,400  l  4,910",N/A  l  -48원,N/A  l  N/A,9.11배  l  593원,,107.03배,+0.01%,,,,,,,,,,
바이넥스 *,18100.0,100.0,+0.56%,18050.0,18100.0,240321.0,4319.0,382588.0,바이넥스,053030,48,"5,749  억원",코스닥 153위,31761048,500원  l  1주,31761048,1841937,5.80%,3.00중립  l  N/A,"38,800  l  13,150",61.15배  l  296원,N/A  l  N/A,"3.11배  l  5,815원",,107.03배,+0.01%,,,,,,,,,,
비씨월드제약 *,20250.0,100.0,+0.50%,20250.0,20500.0,158427.0,3271.0,69156.0,비씨월드제약,200780,49,"1,801  억원",코스닥 600위,8892384,200원  l  1주,8892384,185219,2.08%,N/A  l  N/A,"28,650  l  16,250",54.14배  l  374원,N/A  l  N/A,"1.67배  l  12,139원",0.49%,107.03배,+0.01%,,,,,,,,,,
카이노스메드 *,3035.0,15.0,+0.50%,3035.0,3040.0,125335.0,379.0,306865.0,카이노스메드,284620,50,"3,198  억원",코스닥 322위,105357734,100원  l  1주,105357734,4118920,3.91%,N/A  l  N/A,"5,300  l  2,655",N/A  l  -122원,N/A  l  N/A,57.26배  l  53원,,107.03배,+0.01%,,,,,,,,,,
SK바이오사이언스,299500.0,1500.0,+0.50%,299000.0,299500.0,489894.0,147252.0,972604.0,SK바이오사이언스,302440,51,"22조  9,118  억원",코스피 18위,76500000,500원  l  1주,76500000,3627291,4.74%,"4.00매수  l  325,000","362,000  l  111,500","145.88배  l  2,053원",N/A  l  N/A,"17.05배  l  17,564원",,107.03배,+0.01%,,,,,,,,,,
조아제약 *,4220.0,20.0,+0.48%,4215.0,4220.0,229178.0,965.0,283434.0,조아제약,034940,52,"1,307  억원",코스닥 799위,30979827,500원  l  1주,30979827,639928,2.07%,N/A  l  N/A,"5,850  l  3,855",N/A  l  -134원,N/A  l  N/A,"2.36배  l  1,791원",,107.03배,+0.01%,,,,,,,,,,
에이프로젠제약,1090.0,5.0,+0.46%,1090.0,1095.0,627638.0,685.0,1001460.0,에이프로젠제약,003060,53,"4,344  억원",코스피 399위,398575767,500원  l  1주,398575767,16548896,4.15%,N/A  l  N/A,"1,565  l  1,010",57.37배  l  19원,N/A  l  N/A,"0.86배  l  1,268원",,107.03배,+0.01%,,,,,,,,,,
대화제약 *,11200.0,50.0,+0.45%,11150.0,11200.0,95830.0,1066.0,36584.0,대화제약,067080,54,"2,085  억원",코스닥 525위,18616650,500원  l  1주,18616650,644568,3.46%,N/A  l  N/A,"20,000  l  10,100",153.42배  l  73원,N/A  l  N/A,"2.33배  l  4,817원",1.34%,107.03배,+0.01%,,,,,,,,,,
삼일제약,9230.0,40.0,+0.44%,9230.0,9240.0,136679.0,1261.0,340724.0,삼일제약,000520,55,"1,249  억원",코스피 804위,13537283,500원  l  1주,13537283,368769,2.72%,N/A  l  N/A,"12,950  l  8,790",N/A  l  -100원,N/A  l  N/A,"1.66배  l  5,559원",0.81%,107.03배,+0.01%,,,,,,,,,,
화일약품 *,3480.0,15.0,+0.43%,3480.0,3490.0,283371.0,993.0,442390.0,화일약품,061250,56,"2,284  억원",코스닥 472위,65633553,500원  l  1주,65633553,1032268,1.57%,N/A  l  N/A,"5,883  l  3,130",139.20배  l  25원,N/A  l  N/A,"1.27배  l  2,742원",,107.03배,+0.01%,,,,,,,,,,
옵티팜 *,11700.0,50.0,+0.43%,11700.0,11750.0,60603.0,715.0,89856.0,옵티팜,153710,57,"1,707  억원",코스닥 638위,14589458,500원  l  1주,14589458,42926,0.29%,N/A  l  N/A,"25,400  l  9,910",N/A  l  -243원,N/A  l  N/A,"5.33배  l  2,196원",,107.03배,+0.01%,,,,,,,,,,
종근당,126500.0,500.0,+0.40%,126000.0,126500.0,17723.0,2237.0,32074.0,종근당,185750,58,"1조  4,454  억원",코스피 191위,11426099,"2,500원  l  1주",11426099,920025,8.05%,"4.00매수  l  179,375","273,774  l  117,000","16.98배  l  7,449원",N/A  l  N/A,"2.51배  l  50,343원",0.75%,107.03배,+0.01%,,,,,,,,,,
유나이티드제약,51400.0,200.0,+0.39%,51400.0,51500.0,91723.0,4681.0,123923.0,유나이티드제약,033270,59,"8,350  억원",코스피 272위,16244822,500원  l  1주,16244822,1165408,7.17%,N/A  l  N/A,"110,500  l  41,500","31.71배  l  1,621원",N/A  l  N/A,"2.65배  l  19,377원",0.68%,107.03배,+0.01%,,,,,,,,,,
브릿지바이오테라퓨틱스 *,12800.0,50.0,+0.39%,12750.0,12800.0,61529.0,782.0,83868.0,브릿지바이오테라퓨틱스,288330,60,"2,508  억원",코스닥 416위,19593634,500원  l  1주,19593634,205417,1.05%,N/A  l  N/A,"19,300  l  10,500","N/A  l  -1,108원",N/A  l  N/A,"4.61배  l  2,774원",,107.03배,+0.01%,,,,,,,,,,
넥스트BT *,1440.0,5.0,+0.35%,1440.0,1455.0,316335.0,458.0,214764.0,넥스트BT,065170,61,"1,271  억원",코스닥 817위,88239565,500원  l  1주,88239565,4437908,5.03%,N/A  l  N/A,"2,945  l  1,310",N/A  l  -386원,N/A  l  N/A,2.10배  l  687원,,107.03배,+0.01%,,,,,,,,,,
일동제약,14200.0,50.0,+0.35%,14200.0,14250.0,16211.0,230.0,61312.0,일동제약,249420,62,"3,380  억원",코스피 477위,23803285,"1,000원  l  1주",23803285,1054821,4.43%,N/A  l  N/A,"25,300  l  13,500",N/A  l  -810원,N/A  l  N/A,"1.35배  l  10,541원",,107.03배,+0.01%,,,,,,,,,,
JW신약 *,4435.0,15.0,+0.34%,4430.0,4435.0,94578.0,419.0,105611.0,JW신약,067290,63,"1,949  억원",코스닥 559위,43936858,500원  l  1주,43936858,678777,1.54%,N/A  l  N/A,"7,200  l  4,290",N/A  l  -76원,N/A  l  N/A,"3.53배  l  1,258원",,107.03배,+0.01%,,,,,,,,,,
종근당홀딩스,90800.0,300.0,+0.33%,90700.0,90800.0,12241.0,1104.0,15274.0,종근당홀딩스,001630,64,"4,549  억원",코스피 389위,5009861,"2,500원  l  1주",5009861,461103,9.20%,N/A  l  N/A,"156,000  l  89,200","7.44배  l  12,203원",N/A  l  N/A,"0.83배  l  109,007원",1.54%,107.03배,+0.01%,,,,,,,,,,
대한약품 *,30400.0,100.0,+0.33%,30350.0,30500.0,10589.0,321.0,15801.0,대한약품,023910,65,"1,824  억원",코스닥 590위,6000000,500원  l  1주,6000000,1016942,16.95%,"4.00매수  l  40,000","45,850  l  29,000","11.28배  l  2,694원",N/A  l  N/A,"0.96배  l  31,755원",1.32%,107.03배,+0.01%,,,,,,,,,,
아미노로직스 *,3065.0,10.0,+0.33%,3065.0,3070.0,549756.0,1683.0,619169.0,아미노로직스,074430,66,"2,692  억원",코스닥 379위,87826844,100원  l  1주,87826844,942861,1.07%,N/A  l  N/A,"4,355  l  1,825",37.84배  l  81원,N/A  l  N/A,4.57배  l  671원,,107.03배,+0.01%,,,,,,,,,,
보령제약,16350.0,50.0,+0.31%,16300.0,16350.0,282165.0,4590.0,241018.0,보령제약,003850,67,"1조  1,231  억원",코스피 224위,68690000,500원  l  1주,68690000,4397107,6.40%,"4.00매수  l  24,000","24,734  l  10,450",35.93배  l  455원,N/A  l  N/A,"2.82배  l  5,792원",0.46%,107.03배,+0.01%,,,,,,,,,,
경남제약 *,6710.0,20.0,+0.30%,6710.0,6720.0,95643.0,640.0,189616.0,경남제약,053950,68,"1,345  억원",코스닥 774위,20049565,500원  l  1주,20049565,353966,1.77%,N/A  l  N/A,"10,750  l  6,210",N/A  l  -68원,N/A  l  N/A,"1.66배  l  4,052원",,107.03배,+0.01%,,,,,,,,,,
대원제약,18350.0,50.0,+0.27%,18350.0,18400.0,399033.0,7289.0,446715.0,대원제약,003220,69,"3,895  억원",코스피 430위,21224823,500원  l  1주,21224823,3719138,17.52%,"4.00매수  l  21,500","24,350  l  15,150",591.94배  l  31원,N/A  l  N/A,"1.81배  l  10,132원",0.83%,107.03배,+0.01%,,,,,,,,,,
이글벳 *,8560.0,20.0,+0.23%,8540.0,8560.0,131338.0,1118.0,110844.0,이글벳,044960,70,"1,082  억원",코스닥 933위,12641883,500원  l  1주,12641883,297607,2.35%,N/A  l  N/A,"13,200  l  6,900",24.67배  l  347원,N/A  l  N/A,"2.60배  l  3,289원",0.47%,107.03배,+0.01%,,,,,,,,,,
한올바이오파마,23500.0,50.0,+0.21%,23500.0,23550.0,355345.0,8318.0,419352.0,한올바이오파마,009420,71,"1조  2,277  억원",코스피 210위,52240638,500원  l  1주,52240638,2535005,4.85%,"5.00매수  l  46,000","40,600  l  19,350",69.12배  l  340원,N/A  l  N/A,"7.40배  l  3,175원",,107.03배,+0.01%,,,,,,,,,,
진양제약 *,7380.0,10.0,+0.14%,7380.0,7390.0,356168.0,2654.0,526219.0,진양제약,007370,72,886  억원,코스닥 1073위,12000000,500원  l  1주,12000000,343857,2.87%,N/A  l  N/A,"9,230  l  5,360",12.32배  l  599원,N/A  l  N/A,"1.65배  l  4,461원",1.36%,107.03배,+0.01%,,,,,,,,,,
JW중외제약우,37300.0,50.0,+0.13%,37300.0,37350.0,1024.0,38.0,3046.0,JW중외제약우,001065,73,66  억원,코스피 1546위,177486,"2,500원  l  1주",177486,508,0.29%,N/A  l  N/A,"91,241  l  28,200",N/A  l  -146원,N/A  l  N/A,"4.20배  l  8,886원",0.93%,107.03배,+0.01%,,,,,,,,,,
